city,total_facilities,avg_rating,median_rating,total_reviews,center_lat,center_lng,population,facilities_per_capita,avg_distance_to_nearest,opportunity_score,population_weight,saturation_weight,quality_gap_weight,geographic_gap_weight
Loulé,0,,,0,37.1376,-8.0222,72162.0,0.0,7.71,74.99999999970068,0.9999999999850334,1.0,0.5,0.5
Monchique,0,,,0,37.3167,-8.5556,5958.0,0.0,20.24,70.18289306293224,0.00914465314661162,1.0,0.5,1.0
Vila Real De Santo António,1,4.4,4.4,67,37.1872995,-7.4183981,19156.0,0.522029651284193,17.32,68.25962979712143,0.20667514779306034,0.7208708947086746,1.0,0.75
Olhão,0,,,0,37.0267,-7.8411,45396.0,0.0,7.01,66.98802664054497,0.5994013320272484,1.0,0.5,0.5
Silves,0,,,0,37.1875,-8.4383,37126.0,0.0,6.77,64.51253461034929,0.4756267305174643,1.0,0.5,0.5
Tavira,2,4.5,4.5,73,37.138679100000004,-7.604088749999999,26167.0,0.7643214736118011,17.35,63.13833152254428,0.31160667514313245,0.5913175265822885,0.8333336111106486,0.75
Vila Do Bispo,0,,,0,37.0833,-8.9122,5717.0,0.0,16.12,62.61075357329775,0.005537678664887561,1.0,0.5,0.75
Portimão,2,4.6,4.6,310,37.12978530000001,-8.53998125,59896.0,0.3339121143315079,4.81,61.80543246032714,0.8164184688944637,0.8214572879337309,0.6666672222212973,0.25
Faro,4,4.550000000000001,4.55,514,37.054525845,-7.9492724274999995,64560.0,0.6195786864931847,4.13,60.285815006886544,0.8862231534702355,0.6687114534720799,0.7500004166659715,0.25
Carvoeiro,2,4.5,4.5,265,37.1079565,-8.4837863,,,3.66,49.16667222221297,0.5,0.5,0.8333336111106486,0.25
Ferreiras,1,4.5,4.5,127,37.1052246,-8.2538623,,,1.66,49.16667222221297,0.5,0.5,0.8333336111106486,0.25
Quarteira,2,4.5,4.5,56,37.0768631,-8.0941633,,,2.3,49.16667222221297,0.5,0.5,0.8333336111106486,0.25
Vilamoura,2,4.5,4.5,622,37.09504625,-8.11646825,,,2.36,49.16667222221297,0.5,0.5,0.8333336111106486,0.25
Lagos,2,4.6,4.6,187,37.09882525,-8.684387399999999,31049.0,0.6441431286031757,4.32,48.194132045823295,0.3846741001214597,0.6555768532989386,0.6666672222212973,0.25
Castro Marim,0,,,0,37.2169,-7.4472,6747.0,0.0,4.16,47.919067574640145,0.020953378732006984,1.0,0.5,0.25
São Brás De Alportel,1,4.6,4.6,38,37.1576538,-7.883089,11381.0,0.8786574114752659,5.36,46.04498968999861,0.0903090623349501,0.5301821332957887,0.6666672222212973,0.5
Albufeira,4,4.625,4.75,284,37.094522825,-8.20431405,42388.0,0.9436633009342267,4.56,45.95034760663728,0.554381501151622,0.4954235027875221,0.6250006249989587,0.25
Almancil,1,4.6,4.6,290,37.05141649999999,-8.051853,,,1.65,45.83334444442595,0.5,0.5,0.6666672222212973,0.25
Vale Do Lobo,1,4.6,4.6,102,37.06596469999999,-8.0478243,,,1.65,45.83334444442595,0.5,0.5,0.6666672222212973,0.25
Alvor,1,4.7,4.7,43,37.12839,-8.5941372,,,4.84,42.50001666663889,0.5,0.5,0.5000008333319444,0.25
Alcantarilha,1,5.0,5.0,3,37.14990710000001,-8.365018,,,8.0,40.00003333327777,0.5,0.5,1.6666638888995777e-06,0.5
Estoi,1,5.0,5.0,20,37.0868087,-7.926248800000001,,,5.27,40.00003333327777,0.5,0.5,1.6666638888995777e-06,0.5
Lagoa,1,4.9,4.9,12,37.1272697,-8.450466,23676.0,0.4223686433519176,3.61,39.54464187974752,0.2743246276992543,0.7741596071565877,0.16666805555324027,0.25
Luz,1,4.8,4.8,54,37.0879217,-8.7310033,,,3.86,39.166688888851866,0.5,0.5,0.3333344444425931,0.25
Aljezur,1,4.9,4.9,22,37.3004789,-8.8489729,5347.0,1.870207593042828,25.81,33.33337715205623,0.0,5.346997140609488e-07,0.16666805555324027,1.0
